aoi,fold,image_id
znz,0,znz_aee7fd_07067.tif
znz,1,znz_425403_14480.tif
znz,2,znz_425403_13785.tif
dar,3,dar_42f235_01981.tif
acc,4,acc_ca041a_05020.tif
dar,0,dar_42f235_01401.tif
dar,1,dar_f883a0_03376.tif
znz,2,znz_3f8360_13033.tif
znz,3,znz_425403_13776.tif
dar,4,dar_42f235_01776.tif
dar,0,dar_f883a0_02481.tif
znz,1,znz_06f252_06075.tif
znz,2,znz_bc32f1_08827.tif
dar,3,dar_f883a0_02663.tif
dar,4,dar_f883a0_02427.tif
znz,0,znz_75cdfa_08292.tif
znz,1,znz_33cae6_09928.tif
znz,2,znz_3f8360_12980.tif
znz,3,znz_bd5c14_15286.tif
znz,4,znz_3f8360_12868.tif
znz,0,znz_076995_11384.tif
znz,1,znz_e52478_13455.tif
znz,2,znz_33cae6_09972.tif
kam,3,kam_4e7c7f_16129.tif
dar,4,dar_0a4c40_03864.tif
dar,0,dar_f883a0_02476.tif
acc,1,acc_a42435_04513.tif
znz,2,znz_bc32f1_09518.tif
dar,3,dar_0a4c40_03912.tif
znz,4,znz_bc32f1_09415.tif
dar,0,dar_42f235_01607.tif
znz,1,znz_076995_11509.tif
znz,2,znz_076995_11954.tif
znz,3,znz_bc32f1_09268.tif
dar,4,dar_a017f9_00433.tif
acc,0,acc_665946_04880.tif
znz,1,znz_75cdfa_08511.tif
znz,2,znz_c7415c_12453.tif
znz,3,znz_06f252_06712.tif
dar,4,dar_0a4c40_03775.tif
znz,0,znz_c7415c_12048.tif
znz,1,znz_aee7fd_07607.tif
znz,2,znz_bc32f1_09564.tif
znz,3,znz_425403_14025.tif
znz,4,znz_9b8638_15062.tif
znz,0,znz_06f252_06663.tif
znz,1,znz_3f8360_13178.tif
dar,2,dar_f883a0_02393.tif
dar,3,dar_0a4c40_04332.tif
acc,4,acc_d41d81_05182.tif
znz,0,znz_425403_14106.tif
znz,1,znz_33cae6_09970.tif
znz,2,znz_75cdfa_08671.tif
znz,3,znz_75cdfa_07963.tif
dar,4,dar_353093_00730.tif
znz,0,znz_aee7fd_07220.tif
dar,1,dar_f883a0_02957.tif
znz,2,znz_06f252_06049.tif
znz,3,znz_3f8360_13064.tif
znz,4,znz_06f252_06509.tif
znz,0,znz_06f252_05986.tif
znz,1,znz_aee7fd_07617.tif
znz,2,znz_75cdfa_08341.tif
znz,3,znz_3b20d4_10623.tif
znz,4,znz_75cdfa_08123.tif
znz,0,znz_3f8360_13163.tif
mon,1,mon_493701_05653.tif
acc,2,acc_a42435_04498.tif
znz,3,znz_75cdfa_08635.tif
znz,4,znz_75cdfa_08293.tif
znz,0,znz_425403_14183.tif
znz,1,znz_75cdfa_08455.tif
znz,2,znz_bd5c14_15273.tif
dar,3,dar_0a4c40_03963.tif
dar,4,dar_42f235_01594.tif
znz,0,znz_9b8638_15159.tif
dar,1,dar_b15fce_00314.tif
znz,2,znz_9b8638_14903.tif
znz,3,znz_e52478_13296.tif
acc,4,acc_665946_04781.tif
znz,0,znz_e52478_13469.tif
dar,1,dar_b15fce_00073.tif
dar,2,dar_f883a0_03207.tif
dar,3,dar_0a4c40_03485.tif
znz,4,znz_3f8360_12581.tif
acc,0,acc_665946_04749.tif
znz,1,znz_c7415c_12035.tif
dar,2,dar_42f235_02302.tif
dar,3,dar_42f235_02081.tif
znz,4,znz_9b8638_14936.tif
dar,0,dar_f883a0_03125.tif
dar,1,dar_42f235_01143.tif
znz,2,znz_3f8360_13044.tif
znz,3,znz_c7415c_12394.tif
dar,4,dar_0a4c40_03900.tif
znz,0,znz_33cae6_09763.tif
